time,category_name,text_company,text_headline,content_url,bias_label
2024-01-01 17:01:12,정치,한국일보 ,김건희 특검 타격보다 거부권 역풍이 낫다... 與 고집에 담긴 셈법,https://n.news.naver.com/mnews/article/469/0000778118?sid=100,0.2742078246598785
2024-01-02 16:49:01,정치,조세일보 ,쌍특검법 국무회의에 미포함…거부권 상정 미뤄져,https://n.news.naver.com/mnews/article/123/0002324411?sid=100,0.9985538175542744
2024-01-01 04:08:17,정치,국민일보 ,정부견제론·金 특검법·李 리스크·신당 파괴력… 선거판 흔든다,https://n.news.naver.com/mnews/article/005/0001663446?sid=100,0.0003385713808653607
2024-01-02 16:20:05,정치,뉴시스 ,국민의힘 쌍특검은 야당의 정치폭력…거부권 행사 불가피,https://n.news.naver.com/mnews/article/003/0012298017?sid=100,0.008890510157729365
2024-01-02 20:18:01,정치,JTBC ,특검법 둘러싼 대치도 탈당 선언도…정치권 일단 멈춤,https://n.news.naver.com/mnews/article/437/0000373431?sid=100,0.03161470923841781
2024-01-01 14:16:30,정치,뉴스1 ,대권주자 첫 우위 한동훈…새해 첫 과제 여전히 김건희 특검법,https://n.news.naver.com/mnews/article/421/0007264972?sid=100,0.6190357328121648
2024-01-01 16:05:09,정치,연합뉴스 ,與 특검법은 반대지만…김여사 리스크 역풍 불까 노심초사,https://n.news.naver.com/mnews/article/001/0014419701?sid=100,0.0017365291801343776
2024-01-01 16:01:01,정치,한국일보 ,총선 투표에 고려하겠다... 김건희 특검 51% 이재명 재판 48% 한국일보 신년 여론조사,https://n.news.naver.com/mnews/article/469/0000778109?sid=100,0.0018455635902204504
2024-01-01 16:26:01,정치,국민일보 ,尹 “특검 왜 거부하나 죄 지었으니까”… 과거발언 재조명,https://n.news.naver.com/mnews/article/005/0001663538?sid=100,0.0004698790440026353
2024-01-01 16:40:01,정치,한국경제 ,특검법 반대하지만…김여사 리스크 역풍 불까 고심하는 與,https://n.news.naver.com/mnews/article/015/0004931658?sid=100,0.00037004406559898353
2024-01-01 14:23:11,정치,헤럴드경제 ,한동훈 ‘김건희 특검’ 질문에 “도이치 특검은 총선용 악법”,https://n.news.naver.com/mnews/article/016/0002245969?sid=100,0.00021492318280245137
2024-01-01 05:00:01,정치,중앙일보 ,김건희 특검 거부권 안돼 65% 운동권 특권정치 청산 52% 중앙일보 신년 여론조사,https://n.news.naver.com/mnews/article/025/0003332246?sid=100,0.0002874054188130563
2024-01-01 13:33:30,정치,중앙일보 ,김건희 특검 묻자 한동훈 도이치 특검은 총선용 악법,https://n.news.naver.com/mnews/article/025/0003332287?sid=100,0.9363561447280889
2024-01-02 20:01:03,정치,한국일보 ,이재명 피습에도 대통령실 김건희 특검법에 즉시 거부권,https://n.news.naver.com/mnews/article/469/0000778349?sid=100,0.336847826772217
2024-01-01 12:08:04,정치,아시아경제 ,가수 이승환 특검 왜 거부합니까…尹대통령 사진 업로드,https://n.news.naver.com/mnews/article/277/0005361380?sid=100,0.00021260458681938762
2024-01-01 15:24:22,정치,MBC ,한동훈 김건희 특검 질문에 도이치 특검‥국민 눈·귀 가리는 악법,https://n.news.naver.com/mnews/article/214/0001321887?sid=100,0.999602785346097
2024-01-02 16:53:06,정치,연합뉴스 ,與 野 특검 권한쟁의심판 검토에 선거운동 도구 삼으려종합,https://n.news.naver.com/mnews/article/001/0014421882?sid=100,0.9974747520908641
2024-01-01 10:59:07,정치,디지털타임스 ,당정지지율 도로 하방압력…한동훈 효과 김건희 특검·인사 잡음에 상쇄,https://n.news.naver.com/mnews/article/029/0002846567?sid=100,0.9997400015212824
2024-01-01 01:05:02,정치,YTN ,尹 오늘 신년사 발표...특검법 거부권 행사 초읽기,https://n.news.naver.com/mnews/article/052/0001979316?sid=100,0.9998006992847512
2024-01-02 18:21:16,정치,YTN ,민주 與 김건희 특검을 도이치 특검으로 호도...꿈 깨야,https://n.news.naver.com/mnews/article/052/0001979993?sid=100,0.0005797291393930833
2024-01-01 14:19:05,정치,한겨레 ,‘김건희 특검법’ 70대 이상만 빼고 “거부권 행사 말라”,https://n.news.naver.com/mnews/article/028/0002670912?sid=100,0.00021151636370321362
2024-01-01 13:47:36,정치,채널A ,한동훈 “도이치 특검은 국민 눈과 귀 가리는 것”,https://n.news.naver.com/mnews/article/449/0000264893?sid=100,0.000331720138992034
2024-01-01 10:19:06,정치,뉴시스 ,국민 65% 김건희 특검 거부권 안돼…보수텃밭 TK도 56%가 반대,https://n.news.naver.com/mnews/article/003/0012295325?sid=100,0.00025550704706026853
